title,year_range,publisher,genre,characteristic,platform,no_players,metascore,user_avg
Final Fantasy X,2000-2005,SquareEnix,JRPG,Fantasy,PlayStation2,1 Player,92,8.8
Prince of Persia: The Sands of Time,2000-2005,Ubisoft,Action Adventure,Fantasy,GameCube,1 Player,92,8.2
The Walking Dead: A Telltale Games Series,2010-2015,TelltaleGames,Adventure,Point-and-Click,Xbox360,not specified,92,8.6
Unreal Tournament (1999),1995-2000,EpicGames,FPS,Sci-Fi,PC,1 to 32,92,9.0
Sid Meier's Alpha Centauri,1995-2000,FiraxisGames,Strategy,Sci-Fi,PC,not specified,92,9.0
Wave Race 64,1995-2000,Nintendo,Racing,Snow/Water,Nintendo64,1 to 2,92,8.2
Galactic Civilizations II: Twilight of the Arnor,2005-2010,Stardock,Strategy,Sci-Fi,PC,1 Player,92,8.4
Super Smash Bros. for Wii U,2010-2015,Bandai,Fighting,3D,WiiU,1 to 4,92,9.0
Guitar Hero II,2005-2010,Activision,Rhythm,Music,PlayStation2,1 to 2,92,8.5
Into the Breach,2015-2020,SubsetGames,Strategy,Tactics,Switch,No Online Multiplayer,92,8.1
Final Fantasy VII,1995-2000,SquareEnix,JRPG,Fantasy,PlayStation,1 Player,92,9.2
Rock Band,2005-2010,MtvGames,Rhythm,Music,PlayStation3,4  Online,92,8.4
Chrono Trigger,2005-2010,SquareEnix,JRPG,Fantasy,DS,No Online Multiplayer,92,8.9
Bayonetta 2,2015-2020,Nintendo,Action Adventure,Linear,Switch,No Online Multiplayer,92,8.4
Journey,2010-2015,SonyInteractiveEntertainment,Platformer,3D,PlayStation3,not specified,92,8.8
Xenoblade Chronicles,2010-2015,Nintendo,Action RPG,Fantasy,Wii,No Online Multiplayer,92,9.0
Conker's Bad Fur Day,2000-2005,Rare,Platformer,3D,Nintendo64,not specified,92,9.1
Medal of Honor,1995-2000,EA,FPS,Historic,PlayStation,1 to 2,92,8.7
PaRappa the Rapper,1995-2000,SonyInteractiveEntertainment,Rhythm,Music,PlayStation,1 Player,92,7.4
Rock Band 2,2005-2010,MtvGames,Rhythm,Music,Xbox360,1 to 4,92,8.3
Mario Kart 8 Deluxe,2015-2020,Nintendo,Racing,Arcade,Switch,1 to 12,92,8.6
INSIDE,2015-2020,PLAYDEAD,Platformer,2D,Switch,No Online Multiplayer,92,8.4
The ICO & Shadow of the Colossus Collection,2010-2015,SonyInteractiveEntertainment,Action Adventure,Fantasy,PlayStation3,1 Player,92,8.6
Rayman Origins,2010-2015,Ubisoft,Platformer,2D,Wii,1 to 4,92,8.5
Metroid Prime 2: Echoes,2000-2005,Nintendo,FPS,Sci-Fi,GameCube,1 to 4,92,8.8
Out of the Park Baseball 17,2015-2020,OutOfTheParkDevelopments,Sports,Baseball,PC,not specified,92,3.4
Metroid Fusion,2000-2005,Nintendo,Action Adventure,Sci-Fi,GameBoyAdvance,1 Player,92,9.0
The Witcher 3: Wild Hunt - Blood and Wine,2015-2020,CDProjectRedStudio,Action RPG,Open-World,PC,not specified,92,9.2
Final Fantasy VI Advance,2005-2010,SquareEnix,JRPG,Fantasy,GameBoyAdvance,1 to 2,92,8.6
Rayman Legends,2010-2015,Ubisoft,Platformer,2D,WiiU,No Online Multiplayer,92,8.7
Tiger Woods PGA Tour 2003,2000-2005,EA,Sports,Golf,PC,1 to 8,92,5.0
Madden NFL 2005,2000-2005,EA,Sports,Football,Xbox,2  Online,91,7.7
Super Street Fighter IV,2005-2010,Capcom,Fighting,3D,Xbox360,1 to 8,91,7.6
Pac-Man Championship Edition DX,2005-2010,Bandai,Arcade,2D,PlayStation3,not specified,91,7.7
Rock Band 2,2005-2010,MtvGames,Rhythm,Music,PlayStation3,4  Online,91,7.9
Dark Souls II,2010-2015,Bandai,Action RPG,Fantasy,Xbox360,1 to 4,91,7.9
Dishonored,2010-2015,BethesdaSoftworks,Action Adventure,Stealth,PC,No Online Multiplayer,91,8.4
ESPN NFL Football,2000-2005,Sega,Sports,Football,PlayStation2,1 to 16,91,8.5
Medal of Honor: Allied Assault,2000-2005,EA,FPS,Historic,PC,not specified,91,8.6
Myth: The Fallen Lords,1995-2000,Bungie,Strategy,Fantasy,PC,1 to 16,91,8.7
LittleBigPlanet 2,2010-2015,SonyInteractiveEntertainment,Platformer,3D,PlayStation3,4  Online,91,8.4
Guitar Hero,2000-2005,Activision,Rhythm,Music,PlayStation2,1 to 2,91,8.7
World of Warcraft: Wrath of the Lich King,2005-2010,Blizzard,MMORPG,Fantasy,PC,Massively Multiplayer,91,7.6
Rock Band 3,2005-2010,MtvGames,Rhythm,Music,Wii,not specified,91,6.8
Metroid Prime Trilogy,2005-2010,Nintendo,FPS,Sci-Fi,Wii,No Online Multiplayer,91,9.1
