id;position;title;year;publisher;genre;characteristic;platform;metascore;user_avg;no_players
238;238;Rock Band 2;2008;MtvGames;Rhythm;Music;Xbox360;92;8.3;1 to 4
239;239;Mario Kart 8 Deluxe;2017;Nintendo;Racing;Arcade;Switch;92;8.6;1 to 12
240;240;INSIDE;2018;PLAYDEAD;Platformer;2D;Switch;92;8.4;No Online Multiplayer
241;241;The ICO & Shadow of the Colossus Collection;2011;SonyInteractiveEntertainment;Action Adventure;Fantasy;PlayStation3;92;8.6;1 Player
242;242;Rayman Origins;2011;Ubisoft;Platformer;2D;Wii;92;8.5;1 to 4
243;243;Metroid Prime 2: Echoes;2004;Nintendo;FPS;Sci-Fi;GameCube;92;8.8;1 to 4
244;244;Out of the Park Baseball 17;2016;OutOfTheParkDevelopments;Sports;Baseball;PC;92;3.4;not specified
245;245;Metroid Fusion;2002;Nintendo;Action Adventure;Sci-Fi;GameBoyAdvance;92;9.0;1 Player
246;246;The Witcher 3: Wild Hunt - Blood and Wine;2016;CDProjectRedStudio;Action RPG;Open-World;PC;92;9.2;not specified
247;247;Final Fantasy VI Advance;2007;SquareEnix;JRPG;Fantasy;GameBoyAdvance;92;8.6;1 to 2
248;248;Rayman Legends;2013;Ubisoft;Platformer;2D;WiiU;92;8.7;No Online Multiplayer
249;249;Tiger Woods PGA Tour 2003;2002;EA;Sports;Golf;PC;92;5.0;1 to 8
250;250;Madden NFL 2005;2004;EA;Sports;Football;Xbox;91;7.7;2  Online
251;251;Super Street Fighter IV;2010;Capcom;Fighting;3D;Xbox360;91;7.6;1 to 8
252;252;Pac-Man Championship Edition DX;2010;Bandai;Arcade;2D;PlayStation3;91;7.7;not specified
253;253;Rock Band 2;2008;MtvGames;Rhythm;Music;PlayStation3;91;7.9;4  Online
254;254;Dark Souls II;2014;Bandai;Action RPG;Fantasy;Xbox360;91;7.9;1 to 4
255;255;Dishonored;2012;BethesdaSoftworks;Action Adventure;Stealth;PC;91;8.4;No Online Multiplayer
256;256;ESPN NFL Football;2003;Sega;Sports;Football;PlayStation2;91;8.5;1 to 16
257;257;Medal of Honor: Allied Assault;2002;EA;FPS;Historic;PC;91;8.6;not specified
258;258;Myth: The Fallen Lords;1997;Bungie;Strategy;Fantasy;PC;91;8.7;1 to 16
259;259;LittleBigPlanet 2;2011;SonyInteractiveEntertainment;Platformer;3D;PlayStation3;91;8.4;4  Online
260;260;Guitar Hero;2005;Activision;Rhythm;Music;PlayStation2;91;8.7;1 to 2
261;261;World of Warcraft: Wrath of the Lich King;2008;Blizzard;MMORPG;Fantasy;PC;91;7.6;Massively Multiplayer
262;262;Rock Band 3;2010;MtvGames;Rhythm;Music;Wii;91;6.8;not specified
263;263;Metroid Prime Trilogy;2009;Nintendo;FPS;Sci-Fi;Wii;91;9.1;No Online Multiplayer
264;264;Overwatch;2016;Blizzard;FPS;Tactical;PC;91;6.7;1 to 12
265;265;F1 Challenge '99-'02;2003;EA;Racing;FormulaOne;PC;91;8.0;1 to 8
266;266;Tony Hawk's Pro Skater 4;2002;Activision;Sports;Skateboarding;GameCube;91;8.5;1 to 8
267;267;Madden NFL 2001;2000;EA;Sports;Football;PlayStation2;91;7.8;1 to 8
268;268;Baldur's Gate;1998;Interplay;RPG;Fantasy;PC;91;8.9;Online Multiplayer
269;269;Bayonetta 2;2014;Nintendo;Action Adventure;Fantasy;WiiU;91;9.0;No Online Multiplayer
270;270;The Witcher 3: Wild Hunt;2015;CDProjectRedStudio;Action RPG;Open-World;XboxOne;91;9.2;No Online Multiplayer
271;271;Rock Band 3;2010;MtvGames;Rhythm;Music;PlayStation3;91;8.0;not specified
272;272;Klonoa 2: Lunatea's Veil;2001;Bandai;Platformer;3D;PlayStation2;91;9.0;1 Player
273;273;IL-2 Sturmovik;2001;Ubisoft;Simulation;Flight;PC;91;8.7;1 to 32
274;274;Mario Tennis;2000;Nintendo;Sports;Tennis;Nintendo64;91;8.9;not specified
275;275;FreeSpace 2;1999;Interplay;Simulation;Sci-Fi;PC;91;8.8;1 to 8
276;276;Colony Wars;1997;SonyInteractiveEntertainment;Simulation;Sci-Fi;PlayStation;91;8.0;1 Player
277;277;Metal Gear Solid V: The Phantom Pain;2015;Konami;Action Adventure;Open-World;PC;91;7.8;1 to 16
278;278;Ratchet & Clank: Up Your Arsenal;2004;SonyInteractiveEntertainment;Platformer;3D;PlayStation2;91;9.2;8  Online
279;279;Resident Evil;2002;Capcom;Action Adventure;Horror;GameCube;91;9.3;1 Player
280;280;FIFA Soccer 10;2009;EA;Sports;Soccer;PlayStation3;91;7.5;not specified
281;281;Assassin's Creed II;2009;Ubisoft;Action Adventure;Open-World;PlayStation3;91;8.6;No Online Multiplayer
282;282;Metal Gear Solid 3: Snake Eater;2004;Konami;Action Adventure;Stealth;PlayStation2;91;9.0;1 Player
283;283;Twisted Metal: Black;2001;SonyInteractiveEntertainment;Racing;Car/Combat;PlayStation2;91;8.5;1 to 4
284;284;Spyro: Year of the Dragon;2000;SonyInteractiveEntertainment;Platformer;3D;PlayStation;91;8.9;1 Player
285;285;Tomb Raider;1996;EidosInteractive;Action Adventure;Modern;PlayStation;91;8.5;1 Player
286;286;Overwatch;2016;Blizzard;FPS;Tactical;XboxOne;91;5.8;1 to 12
287;287;Resident Evil 4: Wii Edition;2007;Capcom;Action Adventure;Horror;Wii;91;9.0;No Online Multiplayer
288;288;Shadow of the Colossus;2005;SonyInteractiveEntertainment;Action Adventure;Fantasy;PlayStation2;91;9.1;1 Player
289;289;Forza Horizon 3;2016;XboxGamesStudios;Racing;GT/Street;XboxOne;91;8.0;1 to 12
290;290;Peggle;2009;EA;Puzzle;Fantasy;PlayStation3;91;7.3;not specified
291;291;The Legend of Zelda: Ocarina of Time / Master Quest;2003;Nintendo;Action Adventure;Fantasy;GameCube;91;8.9;1 Player
292;292;Borderlands 2;2012;Gearbox;FPS;Sci-Fi;PlayStation3;91;8.2;1 to 4
293;293;Tom Clancy's Splinter Cell;2003;Ubisoft;Action Adventure;Stealth;PC;91;8.5;No Online Multiplayer
294;294;Kentucky Route Zero - Act III;2014;AnnapurnaInteractive;Adventure;General;PC;91;6.6;not specified
295;295;NCAA Football 2003;2002;EA;Sports;Football;PlayStation2;91;8.4;1 to 8
296;296;Crysis;2007;EA;FPS;Sci-Fi;PC;91;8.0;No Online Multiplayer
297;297;Ninja Gaiden;2004;Tecmo;Action Adventure;Fantasy;Xbox;91;8.9;1 Player
298;298;God of War: Chains of Olympus;2008;SonyInteractiveEntertainment;Action Adventure;Fantasy;PSP;91;8.6;No Online Multiplayer
299;299;DOA2: Hardcore;2000;Tecmo;Fighting;3D;PlayStation2;91;8.0;1 to 4
300;300;World of Warcraft: The Burning Crusade;2007;Blizzard;MMORPG;Fantasy;PC;91;8.0;Massively Multiplayer
301;301;MLB 10: The Show;2010;SonyInteractiveEntertainment;Sports;Baseball;PlayStation3;91;8.2;not specified
302;302;Shadow of the Colossus;2018;SonyInteractiveEntertainment;Action Adventure;Fantasy;PlayStation4;91;8.5;No Online Multiplayer
303;303;Yoshi's Island: Super Mario Advance 3;2002;Nintendo;Platformer;2D;GameBoyAdvance;91;8.9;1 to 4
304;304;The Witcher 3: Wild Hunt - Blood and Wine;2016;CDProjectRedStudio;Action RPG;Open-World;PlayStation4;91;8.8;not specified
305;305;Tiger Woods PGA Tour 2005;2004;EA;Sports;Golf;PC;91;4.5;1 to 8
306;306;ESPN NFL Football;2003;Sega;Sports;Football;Xbox;91;8.7;1 to 4
307;307;NCAA Football 2003;2002;EA;Sports;Football;GameCube;91;8.1;1 to 2
308;308;The Longest Journey;2000;Funcom;Adventure;Fantasy;PC;91;8.8;1 Player
309;309;Tony Hawk's Pro Skater 2;2000;Ubisoft;Sports;Skateboarding;PC;91;8.5;1 to 4
310;310;Star Wars Jedi Knight: Dark Forces II;1997;LucasArts;FPS;Sci-Fi;PC;91;8.6;1 to 32
311;311;Batman: Arkham Asylum;2009;RocksteadyStudios;Action Adventure;Fantasy;PC;91;8.7;No Online Multiplayer
312;312;Halo: Reach;2010;XboxGamesStudios;FPS;Sci-Fi;Xbox360;91;8.1;1 to 4
313;313;Galactic Civilizations II: Dark Avatar;2007;Stardock;Strategy;Sci-Fi;PC;91;8.3;1 Player
314;314;Mass Effect;2007;EA;Action RPG;Fantasy;Xbox360;91;8.7;No Online Multiplayer
315;315;The Operative: No One Lives Forever;2000;Sierra;FPS;Modern;PC;91;8.8;1 to 16
316;316;Forza Motorsport 4;2011;XboxGamesStudios;Racing;GT/Street;Xbox360;91;8.2;not specified
317;317;Resident Evil;1996;Capcom;Action Adventure;Horror;PlayStation;91;9.1;1 Player
318;318;Battlefield 2;2005;EA;FPS;Modern;PC;91;8.4;64  Online
319;319;God of War Collection;2009;SonyInteractiveEntertainment;Action Adventure;Fantasy;PlayStation3;91;8.7;No Online Multiplayer
320;320;Celeste;2018;MattMakesGamesInc.;Platformer;2D;PlayStation4;91;6.3;No Online Multiplayer
321;321;Madden NFL 2005;2004;EA;Sports;Football;PlayStation2;91;7.9;2  Online
322;322;Tony Hawk's Pro Skater 3;2001;Activision;Sports;Skateboarding;GameCube;91;8.8;not specified
323;323;Street Fighter IV;2009;Capcom;Fighting;3D;PC;91;7.9;2  Online
324;324;Fallout 3;2008;BethesdaSoftworks;Action RPG;Modern;PC;91;7.9;No Online Multiplayer
325;325;Batman: Arkham City;2011;RocksteadyStudios;Action Adventure;Open-World;PC;91;8.7;not specified
326;326;Fez;2013;PolytronCorp.;Platformer;2D;PC;91;6.7;1 Player
327;327;Planescape: Torment;1999;BlackIsleStudios;RPG;Fantasy;PC;91;9.2;No Online Multiplayer
328;328;Sonic Mania Plus;2018;Sega;Platformer;2D;Switch;91;8.7;1 to 2
329;329;Gears of War 3;2011;EpicGames;TPS;Sci-Fi;Xbox360;91;7.9;1 to 10
330;330;Killzone 2;2009;SonyInteractiveEntertainment;FPS;Sci-Fi;PlayStation3;91;8.1;32  Online
331;331;Neverwinter Nights;2002;EA;RPG;Fantasy;PC;91;8.1;Online Multiplayer
